EpochDate,market-price,estimated-transaction-volume,estimated-transaction-volume-usd,trade-volume,n-unique-addresses,my-wallet-n-users
1480896000,754.6397499999999,276149.23791113,208779869.83033073,26745481.446420282,548221.0,10394132.0
1480982400,756.6215,290179.8527432,219286012.91950884,20977699.216424413,540804.0,10425918.0
1481068800,766.1166375,294814.12588415,225933753.51257718,23775580.353968643,539249.0,10456219.0
1481155200,769.72975,283650.69092039,217843730.62685955,18396293.927808,500354.0,10485871.0
1481241600,770.028125,278051.52303171,214235917.98070225,16139725.074413015,465342.0,10513322.0
1481328000,773.40125,193275.66787871,149402091.27024284,11258173.04152307,454665.0,10538568.0
1481414400,768.303125,161208.9255033,123861653.7319505,10790493.55460276,439143.0,10560295.0
1481500800,777.006875,276318.05112749,214657678.01839063,19721035.416289408,498688.0,10584824.0
1481587200,778.4935,256895.58980853,200234698.52036065,20077997.9098794,498359.0,10609307.0
1481673600,774.897,273363.43547253,211719980.7734745,14993051.05091285,495472.0,10632616.0
1481760000,776.75215,285532.10428844,221944104.6634044,15357872.532293279,479430.0,10654351.0
1481846400,781.5683750000001,307291.63428846,240778360.04672283,17973313.885113414,495266.0,10673581.0
1481932800,788.7055,233038.68609319,184331270.31285235,17068492.255287778,458680.0,10691889.0
1482019200,788.40575,197173.82749097,155830419.3426634,10243644.93459555,418498.0,10709127.0
1482105600,789.524125,280515.0221934,221887382.5549794,15301931.73893629,508681.0,10730121.0
1482192000,793.0901375,308362.60757091,245012593.47154224,19671152.5655045,508908.0,10751122.0
1482278400,824.2189375,388618.76777929,321107915.4406717,44854043.026322275,540310.0,10772741.0
1482364800,860.599875,384847.08366064,331099339.956595,54177733.57533249,528878.0,10795676.0
1482451200,901.3182375,431035.31929554,389259376.14941627,71128607.5418054,522516.0,10818540.0
1482537600,891.6126125,223986.76289368,200327041.12922058,36632649.452525035,420206.0,10837759.0
1482624000,886.9003749999999,232569.57990743,208080003.14317763,31411463.344155725,353857.0,10853500.0
1482710400,897.335375,270013.07915095,243946016.4897173,30528384.492602374,448557.0,10871791.0
1482796800,930.376,345270.85375765,322486430.11818266,36349743.369637854,509115.0,10893168.0
1482883200,967.480375,334220.04971301,326666676.589496,58947752.62192145,514772.0,10916410.0
1482969600,963.381625,319522.21513793,309246380.6990942,49469080.76090559,512156.0,10939859.0
1483056000,952.156375,331471.42322822,316213793.6170251,55218054.01763414,496024.0,10961809.0
1483142400,959.879875,215512.42846351,207605277.46318382,20372836.66994757,449831.0,10980042.0
1483228800,997.729875,170022.21641909,170736309.72805017,33991911.05897632,355324.0,10992405.0
1483315200,1015.9771125,278211.81569905,284471581.55227864,57597031.98137848,529708.0,11012695.0
1483401600,1023.141875,329964.39351796,340688236.30729365,41550985.515730955,515023.0,11037425.0
1483488000,1126.7633375,386434.81925425,439183172.0824551,143134274.56983486,545635.0,11064485.0
1483574400,994.674875,526684.33943923,524577602.0814731,208498259.7930426,495909.0,11093917.0
