Day,Bitcoin
2017-01-01,39.07682734254526
2017-01-02,64.36183327007454
2017-01-03,57.465922562566554
2017-01-04,68.95910707507986
2017-01-05,85.0495653925985
2017-01-06,71.25774397758252
2017-01-07,59.76455946506921
2017-01-08,55.16728566006389
2017-01-09,52.868648757561225
2017-01-10,48.2713749525559
2017-01-11,55.16728566006389
2017-01-12,57.465922562566554
2017-01-13,48.2713749525559
2017-01-14,43.67410114755058
2017-01-15,41.375464245047915
2017-01-16,39.07682734254526
2017-01-17,43.67410114755058
2017-01-18,43.67410114755058
2017-01-19,41.375464245047915
2017-01-20,39.07682734254526
2017-01-21,39.07682734254526
2017-01-22,36.77819044004259
2017-01-23,39.07682734254526
2017-01-24,41.375464245047915
2017-01-25,36.77819044004259
2017-01-26,39.07682734254526
2017-01-27,36.77819044004259
2017-01-28,36.77819044004259
2017-01-29,34.47955353753993
2017-01-30,34.47955353753993
2017-01-31,39.07682734254526
2017-02-01,39.07682734254526
2017-02-02,41.375464245047915
2017-02-03,43.67410114755058
2017-02-04,39.07682734254526
2017-02-05,39.07682734254526
2017-02-06,39.07682734254526
2017-02-07,39.07682734254526
2017-02-08,43.67410114755058
2017-02-09,48.2713749525559
2017-02-10,41.375464245047915
2017-02-11,39.07682734254526
2017-02-12,36.77819044004259
2017-02-13,36.77819044004259
2017-02-14,36.77819044004259
2017-02-15,36.77819044004259
2017-02-16,39.07682734254526
2017-02-17,41.375464245047915
2017-02-18,39.07682734254526
2017-02-19,34.47955353753993
2017-02-20,36.77819044004259
2017-02-21,45.97273805005324
2017-02-22,45.97273805005324
2017-02-23,48.2713749525559
2017-02-24,57.465922562566554
2017-02-25,45.97273805005324
2017-02-26,41.375464245047915
2017-02-27,45.97273805005324
2017-02-28,45.97273805005324
2017-03-01,48.2713749525559
2017-03-02,57.465922562566554
2017-03-03,73.55638088008519
2017-03-04,59.76455946506921
2017-03-05,50.57001185505857
2017-03-06,52.868648757561225
2017-03-07,55.16728566006389
2017-03-08,57.465922562566554
2017-03-09,55.16728566006389
2017-03-10,73.55638088008519
2017-03-11,64.36183327007454
2017-03-12,48.2713749525559
2017-03-13,50.57001185505857
2017-03-14,48.2713749525559
2017-03-15,45.97273805005324
2017-03-16,48.2713749525559
2017-03-17,50.57001185505857
2017-03-18,57.465922562566554
2017-03-19,52.868648757561225
2017-03-20,50.57001185505857
2017-03-21,50.57001185505857
2017-03-22,50.57001185505857
2017-03-23,48.2713749525559
2017-03-24,50.57001185505857
2017-03-25,52.868648757561225
2017-03-26,45.97273805005324
2017-03-27,48.2713749525559
2017-03-28,45.97273805005324
2017-03-29,45.97273805005324
2017-03-30,43.67410114755058
2017-03-31,43.67410114755058
2017-04-01,43.67410114755058
2017-04-02,41.375464245047915
2017-04-03,45.97273805005324
2017-04-04,45.97273805005324
2017-04-05,45.97273805005324
2017-04-06,45.97273805005324
2017-04-07,45.97273805005324
2017-04-08,43.67410114755058
2017-04-09,43.67410114755058
2017-04-10,43.67410114755058
2017-04-11,48.2713749525559
2017-04-12,45.97273805005324
2017-04-13,45.97273805005324
2017-04-14,41.375464245047915
2017-04-15,39.07682734254526
2017-04-16,41.375464245047915
2017-04-17,43.67410114755058
2017-04-18,45.97273805005324
2017-04-19,45.97273805005324
2017-04-20,43.67410114755058
2017-04-21,43.67410114755058
2017-04-22,41.375464245047915
2017-04-23,39.07682734254526
2017-04-24,43.67410114755058
2017-04-25,48.2713749525559
2017-04-26,50.57001185505857
2017-04-27,52.868648757561225
2017-04-28,50.57001185505857
2017-04-29,45.97273805005324
2017-04-30,45.97273805005324
2017-05-01,52.04369607046919
2017-05-02,65.05462008808648
2017-05-03,65.05462008808648
2017-05-04,78.06554410570378
2017-05-05,78.06554410570378
2017-05-06,65.05462008808648
2017-05-07,65.05462008808648
2017-05-08,65.05462008808648
2017-05-09,91.07646812332108
2017-05-10,91.07646812332108
2017-05-11,91.07646812332108
2017-05-12,104.08739214093838
2017-05-13,117.09831615855568
2017-05-14,104.08739214093838
2017-05-15,130.10924017617296
2017-05-16,104.08739214093838
2017-05-17,91.07646812332108
2017-05-18,91.07646812332108
2017-05-19,91.07646812332108
2017-05-20,91.07646812332108
2017-05-21,104.08739214093838
2017-05-22,143.12016419379026
2017-05-23,156.13108821140756
2017-05-24,169.14201222902486
2017-05-25,234.19663231711135
2017-05-26,182.15293624664216
2017-05-27,156.13108821140756
2017-05-28,117.09831615855568
2017-05-29,117.09831615855568
2017-05-30,117.09831615855568
2017-05-31,117.09831615855568
2017-06-01,104.08739214093838
2017-06-02,104.08739214093838
2017-06-03,91.07646812332108
2017-06-04,91.07646812332108
2017-06-05,104.08739214093838
2017-06-06,130.10924017617296
2017-06-07,117.09831615855568
2017-06-08,104.08739214093838
2017-06-09,104.08739214093838
2017-06-10,104.08739214093838
2017-06-11,104.08739214093838
2017-06-12,130.10924017617296
2017-06-13,117.09831615855568
2017-06-14,117.09831615855568
2017-06-15,143.12016419379026
2017-06-16,117.09831615855568
2017-06-17,104.08739214093838
2017-06-18,91.07646812332108
2017-06-19,104.08739214093838
2017-06-20,104.08739214093838
2017-06-21,104.08739214093838
2017-06-22,104.08739214093838
2017-06-23,104.08739214093838
2017-06-24,91.07646812332108
2017-06-25,91.07646812332108
2017-06-26,104.08739214093838
2017-06-27,130.10924017617296
2017-06-28,117.09831615855568
2017-06-29,104.08739214093838
2017-06-30,91.07646812332108
2017-07-01,78.06554410570378
2017-07-02,78.06554410570378
2017-07-03,91.07646812332108
2017-07-04,91.07646812332108
2017-07-05,78.06554410570378
