,token,change_p1_p2,wc_p1_p2,change_p2_p3,wc_p2_p3
0,0,14.333508087660384,0.34274137407772376,10.649795434103604,0.6158511480249869
1,01,23.865459220241412,0.3826570840210579,31.93189618129766,0.39430854685067507
2,1,2.6006310568942537,0.8077933886149521,0.13765761797257525,0.8867179200518457
3,10,18.94603271859716,0.20714639062923978,-0.27179154565785124,0.8557714636267594
4,100,8.705940815430635,0.2221315819473615,9.474536034280368,0.3686701173222954
5,1000,32.99464358491664,0.08270261404118767,5.343177109054342,0.7907586923132882
6,10000,64.34436746215037,0.02415556057662379,-37.56190114789868,0.02050878668708702
7,100000,11.745139963962137,0.24805243211035477,-37.26315426343886,0.0043468848611657755
8,100k,21.26776928263019,0.08430958619196878,-20.707597749624117,0.11474212255881837
9,10k,57.18651173644695,0.05214269338804881,-30.23525624376945,0.05872215297696821
10,11,7.721518168468333,0.7697584656361216,3.958170659622118,0.9082010434842959
11,12,-18.96751368544458,0.2019484571119572,10.649795434103604,0.46267250659806425
12,13,18.856194325305164,0.6935576564371551,-4.152041235809378,0.8386518341329818
13,14,-12.635617846356872,0.41902576869140207,-35.804157850960706,0.014403352267897475
14,15,-1.6723232864361948,0.5698464862020767,15.017550517028733,0.37259944717276405
15,18,-10.269905045127281,0.5144340707127594,9.452185169430582,0.8128301252864026
16,2,-13.66240603370903,0.0687489553205643,11.385417342806804,0.20676361737180304
17,20,8.721170002992352,0.19138610316124294,20.86590054331834,0.252374635436187
18,200,-0.060857624368027,0.9495928967904718,-1.4135281282610657,0.9018516084893531
19,2013,50.257707393966065,0.17031402913292382,-35.30262783417133,0.11849607655108048
20,2017,18.282009811656373,0.27531911892932803,-7.3159544377341295,0.2384209553127279
21,2018,48.993519951949494,0.06106001022111629,-35.17192607222015,0.029937892144692935
22,2020,17.388833901535982,0.5031519734701762,-24.417038231666822,0.2778097896838283
23,2021,-13.831600646744867,0.10580580004933836,25.519152955540036,0.020952628871755474
24,2022,74.32241834378092,0.05440977961790896,159.6608337429891,2.3899358161146947e-06
25,21,13.19637554790971,0.5297586430459996,21.15181987793693,0.46567840243542413
26,23,-20.762537116463207,0.308438785753529,30.353223919299243,0.19163234671926888
27,24,-9.0236537263096,0.6579341698830445,24.293159429692345,0.12713257411911047
28,25,-17.518898284973396,0.44105466542552796,-1.7827658506271549,0.5324086895131686
29,3,-5.044676380874124,0.33953270583633954,25.22388605778898,0.031039565015350504
30,30,-56.29933865211001,0.0015565978646719261,52.93542431385141,0.04549765705911382
31,300,-54.15190826864538,0.011302565126621202,90.02899650639532,0.40381626977001106
32,4,-9.886806916762081,0.5794886424551637,14.356530111758481,0.48237707466965907
33,40,-41.48618125523438,0.0033736158802333883,91.69591752838124,0.012549219255637463
34,5,-10.800733824299991,0.3895214964943078,30.101819437294818,0.0661754221409409
35,50,16.380023610194662,0.24685609564289523,18.280459751554368,0.4946641041441777
36,500,1.6379270742413077,0.5815004852177232,-1.6297265314885845,0.5907933364175341
37,50000,-58.56864685828141,0.09757270405835683,89.77895835309744,0.024542563792607712
38,50k,-61.78618811290424,0.019597516430483543,86.05780230695828,0.024675321437687765
39,6,-1.699611263322487,0.7765257369090898,27.91671506099458,0.10474266104040782
40,60,15.041057223505284,0.350839685065936,-17.844606773550908,0.3805119518766694
41,60k,314.7738797854272,1.755829094460499e-05,-68.53293429251099,0.00011500951575529368
42,7,-21.819036621577048,0.32714816880049113,18.126132963434927,0.3998462373973355
43,8,12.42238323647098,0.7184238205312461,19.17481137909003,0.36556276505054996
44,9,-28.801120307546647,0.13717246861114524,70.6712039930104,0.0351165378305588
45,90,-4.177951861769468,0.9887657277970164,79.89924568048087,0.03434698869071932
46,abil,11.630136389385148,0.981787536350227,-11.682952281567205,0.6465956304680407
47,abl,2.667895456625624,0.6075454005679195,-5.504253102192125,0.24234088592005065
48,absolut,-18.361401877568163,0.37329835210048146,5.996566162751971,0.8328326511592857
49,accept,-13.395788866519897,0.35807296352481177,-34.13932791970967,0.0010688374981627422
50,access,-14.237098996642539,0.21205931042509008,29.186379203909098,0.10187192223217835
51,accord,4.69814915542397,0.9460901607173768,-15.305258255642473,0.5003695415719926
52,account,-3.78308078427676,0.7084619340561465,7.688000729178879,0.4854502056725475
53,accumul,-8.756860921987942,0.36001553715092993,61.42814107653156,0.06257433160389436
54,achiev,-12.256820761733266,0.4471449976608066,-6.10812202691532,0.8363393784404523
55,across,-26.147607409519114,0.24442402132015162,18.21248247583509,0.4623404307952903
56,act,-13.216112079935904,0.5691752813162255,15.017550517028733,0.6692627715212669
57,action,7.18110921444588,0.3249881172395773,-14.558391044492925,0.260718032820189
58,activ,-0.9076326238068644,0.6201977880840756,-21.348292661149472,0.19775051468501392
