,token,tot_all,tot_p1,tot_p2,tot_p3
0,0,0.5315510972990485,0.5635163419739173,0.6549494279555629,0.7353625616680629
1,001,0.14638653243901562,0.11270326839478344,0.2072624772011275,0.15824257656148188
2,01,0.2435775908616407,0.23345677024633715,0.2818769689935334,0.37233547426231034
3,05,0.14038708438823627,0.11270326839478344,0.23213397446526282,0.2047845108442707
4,1,4.160017278410386,4.653034938013202,4.742165478361797,4.737968909987899
5,10,2.3901801034304846,2.2782160682659796,2.7441551981429284,2.7180489621148656
6,100,1.8658283437923713,1.9159555627113185,2.06433427292323,2.271246393000093
7,1000,0.7175339868732077,0.6762196103687007,0.8870834024208258,0.9215302987992181
8,10000,0.3911640129108122,0.3542102720978908,0.580334936163157,0.36302708740575257
9,100000,0.3095715194202133,0.4186121397520528,0.4559774498424805,0.2978683794098483
10,100k,0.7643296816692864,0.9177266140718081,1.0943458796219532,0.9122219119426603
11,100x,0.12478851945621004,0.08050233456770246,0.1409384844967667,0.08377548170901983
12,10k,0.3779652271990977,0.32200933827080985,0.505720444370751,0.3444103136926371
13,10x,0.16558476620150947,0.1771051360489454,0.2072624772011275,0.14893418970492414
14,11,0.33716898045379823,0.39446143938174205,0.4311059525783452,0.45611095597133017
15,12,0.6851369673989993,0.8050233456770247,0.6549494279555629,0.7167457879549475
16,13,0.3347692012334865,0.3864112059249718,0.44768695075443543,0.4374941822582147
17,14,0.28557372721709606,0.40251167283851236,0.3564914607859393,0.2234012845573862
18,15,0.7487311167372602,0.7808726453067139,0.7793069142762394,0.8749883645164294
19,150,0.19798178567571784,0.3139591048140396,0.22384347537721772,0.2420180582705017
20,16,0.2567763765733552,0.32200933827080985,0.2901674680815785,0.2047845108442707
21,17,0.2435775908616407,0.2415070037031074,0.3150389653457138,0.27925160569673274
22,18,0.43915959731704685,0.5796168088874577,0.5140109434587963,0.5864283719631388
23,19,0.20158145450618545,0.20125583641925618,0.25700547172939814,0.26063483198361725
24,1k,0.13438763633745696,0.13685396876509417,0.24042447355330793,0.1117006422786931
25,1m,0.14398675321870388,0.1771051360489454,0.19897197811308243,0.13962580284836637
26,1st,0.21837990904836754,0.2415070037031074,0.19068147902503732,0.37233547426231034
27,2,3.166508681201329,3.6467557559169217,3.1503896534571383,3.546495392348506
28,20,1.3438763633745696,1.368539687650942,1.4674183385839827,1.7313599553197432
29,200,0.5243517596381133,0.5715665754306875,0.580334936163157,0.5678115982500233
30,2000,0.2375781428108614,0.2978586379004991,0.2652959708174432,0.26063483198361725
31,20000,0.13798730516792454,0.13685396876509417,0.1243574863206765,0.14893418970492414
32,2008,0.18478299996400332,0.27370793753018835,0.1243574863206765,0.16755096341803966
33,2009,0.19198233762493852,0.14490420222186443,0.23213397446526282,0.30717676626640605
34,2010,0.15598564932026254,0.1046530349380132,0.165809981760902,0.18616773713115517
35,2011,0.17878355191322398,0.1046530349380132,0.23213397446526282,0.16755096341803966
36,2012,0.14158697399839215,0.18515536950571568,0.165809981760902,0.13962580284836637
37,2013,0.4139619155037737,0.3542102720978908,0.5305919416348864,0.36302708740575257
38,2014,0.21837990904836754,0.1932056029624859,0.2735864699054883,0.2513264451270595
39,2015,0.19078244801478264,0.18515536950571568,0.2901674680815785,0.2234012845573862
40,2016,0.20038156489602957,0.20125583641925618,0.22384347537721772,0.2047845108442707
41,2017,0.7439315582966367,0.7325712445660923,0.8539214060686454,0.7912128828074094
42,2018,0.36476644148738313,0.30590887135726935,0.4559774498424805,0.2978683794098483
43,2019,0.2303788051499262,0.21735630333279665,0.23213397446526282,0.26063483198361725
44,2020,0.48955496094359324,0.49911447431975525,0.580334936163157,0.4374941822582147
45,2021,2.3673822008375227,2.1816132667847365,1.898524291162328,2.466722516987806
46,2022,0.5159525323670222,0.30590887135726935,0.5471729398109766,1.5358838313320302
47,2025,0.12358862984605418,0.07245210111093221,0.14922898358481182,0.15824257656148188
48,2030,0.13318774672730108,0.14490420222186443,0.14922898358481182,0.21409289770082846
49,20k,0.31917063630146025,0.1932056029624859,0.18239097993699221,0.35371870054919485
50,21,0.5567487791123217,0.5635163419739173,0.6217874316033825,0.7353625616680629
51,22,0.18718277918431506,0.21735630333279665,0.165809981760902,0.26063483198361725
52,23,0.2843738376069401,0.32200933827080985,0.248714972641353,0.31648515312296377
53,24,0.5195522011974899,0.5796168088874577,0.5140109434587963,0.6329703062459275
54,25,0.6287421557216736,0.877475446787957,0.746144917924059,0.7074374010983897
55,250,0.18718277918431506,0.14490420222186443,0.1409384844967667,0.1117006422786931
56,26,0.14878631165932735,0.08050233456770246,0.18239097993699221,0.15824257656148188
57,27,0.13798730516792454,0.16100466913540493,0.082904990880451,0.14893418970492414
58,2nd,0.19798178567571784,0.23345677024633715,0.1741004808489471,0.21409289770082846
59,3,2.489770941073421,2.5680244727097086,2.4291162327972144,3.043842502094387
60,30,1.0139067205817065,1.730800193205603,0.7544354170121041,1.154239970213162
61,300,0.3107714090303692,0.4266623732088231,0.19068147902503732,0.36302708740575257
62,3000,0.16558476620150947,0.22540653678956687,0.1409384844967667,0.16755096341803966
63,30000,0.17998344152337983,0.12880373530832395,0.14922898358481182,0.08377548170901983
64,30k,0.38636445447018875,0.20125583641925618,0.23213397446526282,0.23270967141394397
65,35,0.22197957787883515,0.28980840444372885,0.19068147902503732,0.2420180582705017
66,3rd,0.20398123372649718,0.20125583641925618,0.23213397446526282,0.23270967141394397
67,4,1.3918719477808041,1.5939462244405087,1.4425468413198475,1.6475844736107235
68,40,0.41756158433424123,0.5071647077765256,0.29845796716962364,0.6050451456762542
69,400,0.17518388308275637,0.2093060698760264,0.19068147902503732,0.15824257656148188
70,40000,0.13078796750698934,0.07245210111093221,0.07461449179240591,0.08377548170901983
71,40k,0.34796798694520104,0.23345677024633715,0.1409384844967667,0.26063483198361725
72,45,0.18718277918431506,0.21735630333279665,0.22384347537721772,0.13031741599180863
73,5,2.122604720365726,2.2460151344388986,2.022881777483004,2.5970399329796146
74,50,1.2046891685964891,1.0062791820962809,1.168960371414359,1.4055664153402214
75,500,0.6023445842982446,0.6279182096280792,0.6300779306914276,0.6329703062459275
76,5000,0.2099806817772765,0.23345677024633715,0.3067484662576687,0.2420180582705017
77,50000,0.24117781164132898,0.40251167283851236,0.165809981760902,0.30717676626640605
78,500000,0.1259884090663659,0.15295443567863468,0.1575194826728569,0.13962580284836637
79,50k,0.48355551289281384,0.7245210111093222,0.2818769689935334,0.5119612771106767
80,51,0.1811833311335357,0.18515536950571568,0.19068147902503732,0.2047845108442707
81,5k,0.13438763633745696,0.11270326839478344,0.14922898358481182,0.18616773713115517
82,6,0.8963175387864316,0.9096763806150379,0.8870834024208258,1.1356231965000465
83,60,0.3071717401999016,0.3542102720978908,0.4062344553142099,0.3351019268360793
84,600,0.17638377269291225,0.21735630333279665,0.2818769689935334,0.15824257656148188
85,60000,0.13918719477808042,0.1207535018515537,0.4311059525783452,0.08377548170901983
