,dates,no_submissions,no_days,subPerDay
0,ALL,35474,126,281.53968253968253
1, Friday 27 August 2021 00:12:30 -  Tuesday 12 October 2021 19:01:50,12809,47,272.531914893617
2,Tuesday 12 October 2021 19:01:50 -  Thursday 18 November 2021 19:01:50,12124,37,327.6756756756757
3,Thursday 18 November 2021 19:01:50 - Thursday 30 December 2021 00:20:00,10541,42,250.97619047619048
