,token,tot_all,tot_p1,tot_p2,tot_p3
0,0,0.6427242487455601,0.5699117807791396,0.651600131969647,0.7209942130727635
1,01,0.28753453233354004,0.22640331017253496,0.28043549983503796,0.36998387249786546
2,1,4.676664599424931,4.598329299711141,4.717914879577697,4.724409448818897
3,10,2.5708969949822404,2.295261144507768,2.7301220719234576,2.7227018309458306
4,100,2.0522072503805604,1.889296588336326,2.0537776311448366,2.248363532871644
5,1000,0.8175001409483,0.6635959091263955,0.8825470141867371,0.9297030642254055
6,10000,0.43130179850031003,0.35131548130220935,0.5773672055427251,0.36049710653638173
7,100000,0.38619834244799006,0.40596455617144195,0.45364566149785546,0.2846029788445119
8,100k,0.9528105091052601,0.8978062299945352,1.0887495875948532,0.8632957024950195
9,10k,0.3918362744545301,0.32008743851979077,0.5031342791158033,0.351010340574898
10,11,0.42284490049050005,0.39815754547583726,0.4289013526888816,0.4458780001897353
11,12,0.7272932288436601,0.8041221016472793,0.651600131969647,0.7209942130727635
12,13,0.41438800248069,0.37473651338902336,0.44539755856153085,0.42690446826676787
13,14,0.3354569543891301,0.40596455617144195,0.35466842626195977,0.22768238307560953
14,15,0.8146811749450302,0.7885080802560699,0.7753216760145166,0.8917560003794706
15,18,0.5468794046343801,0.5699117807791396,0.511382382052128,0.5597191917275401
16,2,3.4194057619665106,3.630259973456164,3.134279115803365,3.491129873826013
17,20,1.5081468117494503,1.3428058396440004,1.4599142197294623,1.7645384688359738
18,200,0.5750690646670801,0.5777187914747444,0.5773672055427251,0.5692059576890238
19,2013,0.40875007047415,0.35131548130220935,0.5278785879247773,0.34152357461341426
20,2017,0.7836725489090602,0.7182449839956281,0.8495546024414385,0.7874015748031495
21,2018,0.35237075040875004,0.3044734171285815,0.45364566149785546,0.29408974480599565
22,2020,0.5045949145853301,0.49184167382309313,0.5773672055427251,0.4363912342282516
23,2021,2.1508710604950103,2.2015770161605124,1.8970636753546686,2.381178256332416
24,2022,0.7188363308338501,0.31228042782418614,0.5443747937974266,1.4135281282610757
25,21,0.6314483847324801,0.5464907486923256,0.6186077202243484,0.7494545109572146
26,23,0.29317246434008004,0.31228042782418614,0.2474430880897394,0.32255004269044685
27,24,0.5666121666572701,0.562104770083535,0.511382382052128,0.6356133194194099
28,25,0.7864915149123303,0.8899992192989304,0.7340811613328935,0.7209942130727635
29,3,2.6441901110672608,2.545085486767117,2.416694160343121,3.02627834171331
30,30,1.2177933134126402,1.7175423530330236,0.7505773672055427,1.1478986813395313
31,300,0.32136212437278006,0.41377156686704664,0.18970636753546685,0.36049710653638173
32,4,1.5532502678017703,1.592630181903349,1.4351699109204883,1.6412105113366855
33,40,0.45385352652647004,0.5074556952143024,0.29693170570768723,0.5692059576890238
34,5,2.2805434966454303,2.2562260910297445,2.0125371164632133,2.6183474053695095
35,50,1.1670519253537803,0.9992973690373956,1.162982514021775,1.375581064415141
36,500,0.6201725207194001,0.6167538449527675,0.6268558231606731,0.6166397874964424
37,50000,0.29317246434008004,0.39815754547583726,0.16496205872649292,0.3130632767289631
38,50k,0.5158707785984101,0.7338590053868375,0.28043549983503796,0.5217721278816052
39,6,0.9612674071150702,0.8978062299945352,0.8825470141867371,1.128925149416564
40,60,0.36364661442183005,0.35131548130220935,0.40415704387990764,0.3320368086519305
41,60k,0.45667249252974007,0.2107892887813256,0.8742989112504124,0.2751162128830282
42,7,0.7047415008175001,0.7807010695604654,0.6103596172880237,0.7209942130727635
43,8,0.6962846028076901,0.608946834257163,0.6845925437149456,0.8158618726876008
44,9,0.34673281840221004,0.35912249199781404,0.255691191026064,0.4363912342282516
45,90,0.4031121384676101,0.3357014599110001,0.32167601451666117,0.5786927236505076
46,abil,0.42848283249704006,0.41377156686704664,0.4618937644341801,0.4079309363438004
47,abl,1.9366296442464903,1.9361386525099538,1.9877928076542393,1.8783796603737788
48,absolut,0.4623104245362801,0.5152627059099071,0.4206532497525569,0.4458780001897353
49,accept,1.8971641202007103,2.295261144507768,1.9877928076542393,1.3091737026847547
50,access,1.3051812595140104,1.327191818252791,1.138238205212801,1.4704487240299782
51,accord,0.85132773298754,0.8665781872121164,0.9072913229957109,0.7684280428801821
52,account,3.48987991204826,3.4975407916308847,3.3652259980204553,3.623944597286785
