,dates,no_submissions,no_days,subPerDay
0,ALL,326945,702,465.73361823361824
1,1 JAN 17 - 16 DEC 17,181327,349,519.5616045845272
2,16 DEC 17 - 29 JUNE 18,101110,195,518.5128205128206
3,29 JUNE 18 - 15 NOV 18,38706,139,278.46043165467626
