Category: All categories

Day,Bitcoin: (Worldwide)
2017-05-01,4
2017-05-02,5
2017-05-03,5
2017-05-04,6
2017-05-05,6
2017-05-06,5
2017-05-07,5
2017-05-08,5
2017-05-09,7
2017-05-10,7
2017-05-11,7
2017-05-12,8
2017-05-13,9
2017-05-14,8
2017-05-15,10
2017-05-16,8
2017-05-17,7
2017-05-18,7
2017-05-19,7
2017-05-20,7
2017-05-21,8
2017-05-22,11
2017-05-23,12
2017-05-24,13
2017-05-25,18
2017-05-26,14
2017-05-27,12
2017-05-28,9
2017-05-29,9
2017-05-30,9
2017-05-31,9
2017-06-01,8
2017-06-02,8
2017-06-03,7
2017-06-04,7
2017-06-05,8
2017-06-06,10
2017-06-07,9
2017-06-08,8
2017-06-09,8
2017-06-10,8
2017-06-11,8
2017-06-12,10
2017-06-13,9
2017-06-14,9
2017-06-15,11
2017-06-16,9
2017-06-17,8
2017-06-18,7
2017-06-19,8
2017-06-20,8
2017-06-21,8
2017-06-22,8
2017-06-23,8
2017-06-24,7
2017-06-25,7
2017-06-26,8
2017-06-27,10
2017-06-28,9
2017-06-29,8
2017-06-30,7
2017-07-01,6
2017-07-02,6
2017-07-03,7
2017-07-04,7
2017-07-05,6
2017-07-06,7
2017-07-07,6
2017-07-08,6
2017-07-09,6
2017-07-10,7
2017-07-11,8
2017-07-12,7
2017-07-13,7
2017-07-14,7
2017-07-15,8
2017-07-16,9
2017-07-17,8
2017-07-18,8
2017-07-19,8
2017-07-20,8
2017-07-21,8
2017-07-22,7
2017-07-23,7
2017-07-24,7
2017-07-25,8
2017-07-26,8
2017-07-27,8
2017-07-28,8
2017-07-29,7
2017-07-30,7
2017-07-31,8
2017-08-01,14
2017-08-02,12
2017-08-03,9
2017-08-04,8
2017-08-05,10
2017-08-06,9
2017-08-07,10
2017-08-08,10
2017-08-09,9
2017-08-10,9
2017-08-11,9
2017-08-12,11
2017-08-13,14
2017-08-14,15
2017-08-15,15
2017-08-16,13
2017-08-17,13
2017-08-18,12
2017-08-19,12
2017-08-20,10
2017-08-21,10
2017-08-22,12
2017-08-23,11
2017-08-24,10
2017-08-25,11
2017-08-26,10
2017-08-27,9
2017-08-28,10
2017-08-29,11
2017-08-30,12
2017-08-31,12
2017-09-01,13
2017-09-02,13
2017-09-03,11
2017-09-04,14
2017-09-05,14
2017-09-06,12
2017-09-07,11
2017-09-08,12
2017-09-09,10
2017-09-10,10
2017-09-11,11
2017-09-12,11
2017-09-13,14
2017-09-14,18
2017-09-15,20
2017-09-16,13
2017-09-17,11
2017-09-18,12
2017-09-19,11
2017-09-20,10
2017-09-21,10
2017-09-22,10
2017-09-23,8
2017-09-24,8
2017-09-25,9
2017-09-26,9
2017-09-27,9
2017-09-28,9
2017-09-29,9
2017-09-30,8
2017-10-01,8
2017-10-02,9
2017-10-03,9
2017-10-04,9
2017-10-05,8
2017-10-06,8
2017-10-07,8
2017-10-08,8
2017-10-09,10
2017-10-10,10
2017-10-11,10
2017-10-12,16
2017-10-13,19
2017-10-14,13
2017-10-15,12
2017-10-16,12
2017-10-17,12
2017-10-18,12
2017-10-19,12
2017-10-20,14
2017-10-21,15
2017-10-22,13
2017-10-23,14
2017-10-24,15
2017-10-25,14
2017-10-26,13
2017-10-27,12
2017-10-28,10
2017-10-29,11
2017-10-30,13
2017-10-31,15
2017-11-01,18
2017-11-02,24
2017-11-03,22
2017-11-04,17
2017-11-05,17
2017-11-06,18
2017-11-07,17
2017-11-08,19
2017-11-09,17
2017-11-10,21
2017-11-11,20
2017-11-12,25
2017-11-13,22
2017-11-14,18
2017-11-15,18
2017-11-16,18
2017-11-17,21
2017-11-18,16
2017-11-19,15
2017-11-20,19
2017-11-21,20
2017-11-22,18
2017-11-23,17
2017-11-24,16
2017-11-25,17
2017-11-26,25
2017-11-27,33
2017-11-28,38
2017-11-29,62
2017-11-30,51
2017-12-01,38
2017-12-02,31
2017-12-03,31
2017-12-04,36
2017-12-05,36
2017-12-06,48
2017-12-07,94
2017-12-08,87
2017-12-09,58
2017-12-10,55
2017-12-11,63
2017-12-12,60
2017-12-13,54
2017-12-14,47
2017-12-15,43
2017-12-16,44
2017-12-17,49
2017-12-18,49
2017-12-19,52
2017-12-20,69
2017-12-21,53
2017-12-22,100
2017-12-23,64
2017-12-24,50
2017-12-25,44
2017-12-26,41
2017-12-27,39
2017-12-28,39
2017-12-29,35
2017-12-30,34
2017-12-31,29
2018-01-01,28
