Category: All categories

Day,Bitcoin: (Worldwide)
2018-05-01,61
2018-05-02,59
2018-05-03,66
2018-05-04,64
2018-05-05,62
2018-05-06,61
2018-05-07,64
2018-05-08,63
2018-05-09,59
2018-05-10,61
2018-05-11,69
2018-05-12,57
2018-05-13,53
2018-05-14,61
2018-05-15,57
2018-05-16,58
2018-05-17,54
2018-05-18,57
2018-05-19,47
2018-05-20,49
2018-05-21,53
2018-05-22,55
2018-05-23,65
2018-05-24,63
2018-05-25,54
2018-05-26,47
2018-05-27,48
2018-05-28,54
2018-05-29,57
2018-05-30,54
2018-05-31,50
2018-06-01,47
2018-06-02,45
2018-06-03,46
2018-06-04,49
2018-06-05,49
2018-06-06,49
2018-06-07,47
2018-06-08,45
2018-06-09,41
2018-06-10,57
2018-06-11,71
2018-06-12,61
2018-06-13,68
2018-06-14,61
2018-06-15,51
2018-06-16,45
2018-06-17,43
2018-06-18,49
2018-06-19,51
2018-06-20,50
2018-06-21,46
2018-06-22,58
2018-06-23,51
2018-06-24,58
2018-06-25,53
2018-06-26,49
2018-06-27,47
2018-06-28,46
2018-06-29,59
2018-06-30,52
2018-07-01,46
2018-07-02,51
2018-07-03,51
2018-07-04,49
2018-07-05,50
2018-07-06,44
2018-07-07,40
2018-07-08,44
2018-07-09,45
2018-07-10,46
2018-07-11,45
2018-07-12,49
2018-07-13,45
2018-07-14,41
2018-07-15,39
2018-07-16,47
2018-07-17,59
2018-07-18,70
2018-07-19,57
2018-07-20,54
2018-07-21,46
2018-07-22,46
2018-07-23,58
2018-07-24,72
2018-07-25,68
2018-07-26,61
2018-07-27,58
2018-07-28,49
2018-07-29,47
2018-07-30,53
2018-07-31,54
2018-08-01,52
2018-08-02,49
2018-08-03,52
2018-08-04,49
2018-08-05,47
2018-08-06,53
2018-08-07,53
2018-08-08,64
2018-08-09,58
2018-08-10,54
2018-08-11,55
2018-08-12,47
2018-08-13,54
2018-08-14,66
2018-08-15,61
2018-08-16,52
2018-08-17,49
2018-08-18,45
2018-08-19,43
2018-08-20,48
2018-08-21,51
2018-08-22,55
2018-08-23,51
2018-08-24,47
2018-08-25,44
2018-08-26,43
2018-08-27,47
2018-08-28,57
2018-08-29,50
2018-08-30,51
2018-08-31,47
2018-09-01,45
2018-09-02,47
2018-09-03,47
2018-09-04,52
2018-09-05,60
2018-09-06,66
2018-09-07,53
2018-09-08,47
2018-09-09,47
2018-09-10,50
2018-09-11,50
2018-09-12,53
2018-09-13,53
2018-09-14,49
2018-09-15,42
2018-09-16,42
2018-09-17,44
2018-09-18,46
2018-09-19,45
2018-09-20,46
2018-09-21,52
2018-09-22,44
2018-09-23,42
2018-09-24,44
2018-09-25,45
2018-09-26,46
2018-09-27,45
2018-09-28,46
2018-09-29,39
2018-09-30,40
2018-10-01,42
2018-10-02,41
2018-10-03,42
2018-10-04,41
2018-10-05,41
2018-10-06,37
2018-10-07,34
2018-10-08,42
2018-10-09,42
2018-10-10,43
2018-10-11,55
2018-10-12,45
2018-10-13,40
2018-10-14,37
2018-10-15,52
2018-10-16,46
2018-10-17,42
2018-10-18,42
2018-10-19,42
2018-10-20,37
2018-10-21,37
2018-10-22,41
2018-10-23,42
2018-10-24,42
2018-10-25,41
2018-10-26,38
2018-10-27,34
2018-10-28,33
2018-10-29,41
2018-10-30,40
2018-10-31,43
2018-11-01,41
2018-11-02,39
2018-11-03,36
2018-11-04,37
2018-11-05,42
2018-11-06,42
2018-11-07,41
2018-11-08,40
2018-11-09,39
2018-11-10,33
2018-11-11,34
2018-11-12,39
2018-11-13,39
2018-11-14,62
2018-11-15,71
2018-11-16,56
2018-11-17,46
2018-11-18,42
2018-11-19,70
2018-11-20,100
2018-11-21,79
2018-11-22,59
2018-11-23,60
2018-11-24,57
2018-11-25,85
2018-11-26,81
2018-11-27,77
2018-11-28,70
2018-11-29,63
2018-11-30,57
2018-12-01,51
2018-12-02,46
2018-12-03,56
