Category: All categories

Day,Bitcoin: (Worldwide)
2018-01-01,47
2018-01-02,54
2018-01-03,56
2018-01-04,55
2018-01-05,55
2018-01-06,49
2018-01-07,48
2018-01-08,52
2018-01-09,52
2018-01-10,53
2018-01-11,59
2018-01-12,50
2018-01-13,43
2018-01-14,40
2018-01-15,41
2018-01-16,76
2018-01-17,100
2018-01-18,72
2018-01-19,52
2018-01-20,45
2018-01-21,41
2018-01-22,47
2018-01-23,44
2018-01-24,42
2018-01-25,39
2018-01-26,40
2018-01-27,37
2018-01-28,34
2018-01-29,35
2018-01-30,37
2018-01-31,40
2018-02-01,49
2018-02-02,65
2018-02-03,43
2018-02-04,38
2018-02-05,63
2018-02-06,80
2018-02-07,52
2018-02-08,43
2018-02-09,38
2018-02-10,32
2018-02-11,29
2018-02-12,32
2018-02-13,29
2018-02-14,30
2018-02-15,32
2018-02-16,29
2018-02-17,28
2018-02-18,28
2018-02-19,27
2018-02-20,29
2018-02-21,30
2018-02-22,27
2018-02-23,24
2018-02-24,22
2018-02-25,21
2018-02-26,23
2018-02-27,23
2018-02-28,22
2018-03-01,20
2018-03-02,20
2018-03-03,20
2018-03-04,18
2018-03-05,20
2018-03-06,20
2018-03-07,23
2018-03-08,23
2018-03-09,24
2018-03-10,19
2018-03-11,18
2018-03-12,21
2018-03-13,19
2018-03-14,22
2018-03-15,25
2018-03-16,21
2018-03-17,19
2018-03-18,23
2018-03-19,22
2018-03-20,20
2018-03-21,19
2018-03-22,19
2018-03-23,17
2018-03-24,16
2018-03-25,15
2018-03-26,20
2018-03-27,19
2018-03-28,18
2018-03-29,21
2018-03-30,24
2018-03-31,18
2018-04-01,19
2018-04-02,20
2018-04-03,18
2018-04-04,17
2018-04-05,19
2018-04-06,19
2018-04-07,16
2018-04-08,15
2018-04-09,17
2018-04-10,17
2018-04-11,16
2018-04-12,20
2018-04-13,20
2018-04-14,15
2018-04-15,15
2018-04-16,16
2018-04-17,15
2018-04-18,15
2018-04-19,16
2018-04-20,17
2018-04-21,16
2018-04-22,15
2018-04-23,16
2018-04-24,20
2018-04-25,18
2018-04-26,16
2018-04-27,15
2018-04-28,14
2018-04-29,14
2018-04-30,14
2018-05-01,14
2018-05-02,13
2018-05-03,15
2018-05-04,14
2018-05-05,14
2018-05-06,14
2018-05-07,15
2018-05-08,14
2018-05-09,14
2018-05-10,13
2018-05-11,16
2018-05-12,13
2018-05-13,12
2018-05-14,14
2018-05-15,13
2018-05-16,13
2018-05-17,12
2018-05-18,13
2018-05-19,11
2018-05-20,11
2018-05-21,12
2018-05-22,12
2018-05-23,15
2018-05-24,14
2018-05-25,12
2018-05-26,11
2018-05-27,12
2018-05-28,13
2018-05-29,13
2018-05-30,12
2018-05-31,11
2018-06-01,11
2018-06-02,10
2018-06-03,11
2018-06-04,11
2018-06-05,12
2018-06-06,11
2018-06-07,11
2018-06-08,10
2018-06-09,10
2018-06-10,13
2018-06-11,17
2018-06-12,14
2018-06-13,15
2018-06-14,14
2018-06-15,11
2018-06-16,10
2018-06-17,10
2018-06-18,12
2018-06-19,11
2018-06-20,11
2018-06-21,10
2018-06-22,13
2018-06-23,12
2018-06-24,13
2018-06-25,12
2018-06-26,11
2018-06-27,11
2018-06-28,11
2018-06-29,13
2018-06-30,12
2018-07-01,11
2018-07-02,12
2018-07-03,12
2018-07-04,11
2018-07-05,11
2018-07-06,10
2018-07-07,9
2018-07-08,10
2018-07-09,10
2018-07-10,11
2018-07-11,10
2018-07-12,11
2018-07-13,10
2018-07-14,9
2018-07-15,9
2018-07-16,11
2018-07-17,14
2018-07-18,16
2018-07-19,13
2018-07-20,13
2018-07-21,10
2018-07-22,10
2018-07-23,13
2018-07-24,17
2018-07-25,15
2018-07-26,14
2018-07-27,13
2018-07-28,11
2018-07-29,11
2018-07-30,12
2018-07-31,12
2018-08-01,12
2018-08-02,11
2018-08-03,12
2018-08-04,11
2018-08-05,11
2018-08-06,12
2018-08-07,12
2018-08-08,15
2018-08-09,13
2018-08-10,12
2018-08-11,12
2018-08-12,11
2018-08-13,12
2018-08-14,15
2018-08-15,14
2018-08-16,12
2018-08-17,12
2018-08-18,11
2018-08-19,10
2018-08-20,11
2018-08-21,12
2018-08-22,12
2018-08-23,11
2018-08-24,11
2018-08-25,10
2018-08-26,10
2018-08-27,11
2018-08-28,13
2018-08-29,12
2018-08-30,11
2018-08-31,11
2018-09-01,10
